,name,precision,recall,fscore,chore_total,docs_total,feat_total,fix_total,refactor_total,test_total,chore_train,docs_train,feat_train,fix_train,refactor_train,test_train,chore_test,docs_test,feat_test,fix_test,refactor_test,test_test
36,vant,0.7916668942276838,0.7479508196721312,0.7371093980409599,905,839,904,763,105,145,440,452,712,507,62,24,465,387,192,256,43,121
37,chakra-ui,0.6191141560602956,0.5081658291457286,0.4638281151975006,1745,742,344,764,253,132,1215,372,140,378,182,101,530,370,204,386,71,31
38,G2,0.6462621531935653,0.6136919315403423,0.5875578859883093,461,94,494,743,143,110,259,18,298,492,93,67,202,76,196,251,50,43
39,rxjs,0.6298569076080791,0.6051587301587301,0.6040690788418873,852,667,405,671,675,509,507,324,330,393,363,350,345,343,75,278,312,159
40,super-productivity,0.669648252505717,0.702493551160791,0.6758808618121993,391,99,3393,1206,626,101,291,35,2087,727,341,9,100,64,1306,479,285,92
41,electron-builder,0.6399384145815513,0.6524547803617571,0.624618244568085,151,173,567,872,98,74,57,123,378,472,75,56,94,50,189,400,23,18
42,serenity-js,0.6269087388389237,0.6238738738738738,0.6037743758505008,306,217,175,274,56,83,191,127,123,149,41,36,115,90,52,125,15,47
43,reaction,0.5852784652196664,0.5562798783137766,0.5554178433675837,811,180,1299,1399,1590,473,410,104,851,1020,853,213,401,76,448,379,737,260
44,stryker,0.5131043622532878,0.5099778270509978,0.46874511538071145,228,102,330,261,91,116,155,40,199,171,56,56,73,62,131,90,35,60
45,lerna,0.6305658107163694,0.5948275862068966,0.5674107392386014,441,86,265,356,177,125,284,46,123,229,120,68,157,40,142,127,57,57
46,influxdb,0.6421667716802465,0.6090909090909091,0.5793094623255267,1028,81,1543,2028,361,184,498,60,923,1307,222,125,530,21,620,721,139,59
47,superset,0.47816699200959656,0.5481569560047562,0.4749609285234071,358,141,482,881,134,106,202,110,300,554,80,15,156,31,182,327,54,91
48,Semantic-UI-React,0.7421787023363412,0.7144866385372715,0.7171400390584501,313,550,252,529,66,68,189,298,163,298,62,57,124,252,89,231,4,11
49,karma,0.6557938329162107,0.5908346972176759,0.5870768058951481,554,177,207,381,128,81,373,126,127,180,44,67,181,51,80,201,84,14
50,fxa,0.624137503796885,0.637400228050171,0.6062970993237998,1633,51,1968,4358,710,51,938,21,1123,2701,464,16,695,30,845,1657,246,35
51,jina,0.6083077496352457,0.5810097965335342,0.5815224599877651,461,465,649,971,474,298,223,297,436,631,255,149,238,168,213,340,219,149
52,material,0.6821059935590033,0.7006802721088435,0.6633657047420202,318,489,389,1892,149,71,210,276,234,1092,115,58,108,213,155,800,34,13
53,taro,0.644536844122211,0.6352228472522717,0.6264091358623746,997,479,1253,2611,308,129,564,362,864,1422,152,102,433,117,389,1189,156,27
